127.0.0.1 - - [20/Feb/2022:21:45:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:32 +0900] "GET /springProject/index.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:35 +0900] "GET /springProject/home/home.html;jsessionid=0C2F6A802D2EF073F74FA14842BE9A6C HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:35 +0900] "GET /springProject/imgs/exchange.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:42 +0900] "GET /springProject/write/tradeList.html HTTP/1.1" 200 4615
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:48 +0900] "POST /springProject/login/home.html HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:45:53 +0900] "GET /springProject/write/tradeForm.html HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:23 +0900] "POST /springProject/write/tradeupload.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:23 +0900] "GET /springProject/write/tradeList.html HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:23 +0900] "GET /springProject/upload/%EC%A7%84%EC%A7%9C%EC%8A%A4%EB%A7%88%EC%9D%BC2.jpg HTTP/1.1" 200 22621
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:27 +0900] "POST /springProject/read/cartCheck.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:32 +0900] "GET /springProject/write/tradeList.html HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:32 +0900] "GET /springProject/upload/%EC%A7%84%EC%A7%9C%EC%8A%A4%EB%A7%88%EC%9D%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:46:34 +0900] "POST /springProject/read/cartCheck.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:27 +0900] "GET /springProject/logout/logout.html? HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:29 +0900] "GET /springProject/write/tradeList.html HTTP/1.1" 200 5047
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:29 +0900] "GET /springProject/upload/%EC%A7%84%EC%A7%9C%EC%8A%A4%EB%A7%88%EC%9D%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:30 +0900] "POST /springProject/read/cartCheck.html HTTP/1.1" 500 5192
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:45 +0900] "POST /springProject/read/tradeRead.html HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:45 +0900] "GET /springProject/upload/%EC%A7%84%EC%A7%9C%EC%8A%A4%EB%A7%88%EC%9D%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:48 +0900] "POST /springProject/write/replyTradeForm.html HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:47:54 +0900] "POST /springProject/login/home.html HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:50:37 +0900] "GET /springProject/write/tradeList.html HTTP/1.1" 200 4651
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:50:37 +0900] "GET /springProject/upload/%EC%A7%84%EC%A7%9C%EC%8A%A4%EB%A7%88%EC%9D%BC2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:50:39 +0900] "POST /springProject/read/tradeRead.html HTTP/1.1" 200 4332
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:50:41 +0900] "POST /springProject/write/replyTradeForm.html HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:51:01 +0900] "POST /springProject/write/tradeupload.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:51:01 +0900] "GET /springProject/write/tradeList.html HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:51:01 +0900] "GET /springProject/upload/%EC%A7%84%EC%A7%9C%EC%8A%A4%EB%A7%88%EC%9D%BC3.jpg HTTP/1.1" 200 22621
0:0:0:0:0:0:0:1 - - [20/Feb/2022:21:51:12 +0900] "GET /springProject/logout/logout.html? HTTP/1.1" 200 3506
